nameZho,nameEng,orgType,zip,city,province,country
,ACL China,Association,,,,China
福建省侨办海外科技专家顾问团专家,Advisory Group of the Provincial Overseas Chinese Affairs Office,Corporation,,,,
,Apotex,Corporation,M9L 1T9,Toronto,,Canada
,ARIUS Research Inc.,Corporation,M5J 1R7,Toronto,,Canada
加拿大IT资深人协会,Association of Chinese IT Professionals,Association,,,,Canada
海外院士专家北京工作站,Beijing Workstation of Overseas Academicians,Association,,,,
,Bell Lap Ventures,Corporation,,,,Canada
滨州市政府,Binzhou Municipal Government,Municipality,,Binzhou,,China
不列颠哥伦比亚省政府,British Columbia Provincial Government,Government Entity,,Victoria,,Canada
中加科技总汇,Canada China Technology Exchange Hub,Association,L3R 9Z7,Markham,,Canada
加拿大洁能科技有限公司,Canada CleanTech Capital Co.,Corporation,,,,
加中环境合作理事会,Canada-China Environmental Cooperation Council,Association,,,,Canada
加中国际商会,Canada-China International Chamber of Commerce,Association,,,,Canada
加华IT协会,Canada-China IT Association,Association,,,,Canada
加中科技联盟,Canada-China Sci-Tech Alliance,Association,,,,Canada
加中科技论坛,Canada-China Sci-Tech Fora,Event Series,,,,
加拿大福建企业总商会,Canada-Fujian Chamber of Commerce,Association,,,,Canada
加拿大生命科学院,Canadian Academy of Health Sciences,Academic Institution,K1N 5V9,Ottawa,,Canada
晋商加拿大总商会,Canadian Chamber of Commerce of Shanxi Merchants,Association,,,,Canada
加拿大IT资深人协会,Canadian IT Veterans Association,Association,,,,Canada
加拿大华创会,Canadian-Chinese Entrepreneurship Association,Association,,,,Canada
康希诺生物股份公司,CanSino Biologics,Corporation,300457,Tianjin,,China
中央军事委员会,Central Military Commission,Government Entity,100858,Beijing,,China
中国-加拿大（安大略）研究与创新合作论坛,China – Canada (Ontario) Research and Innovation Cooperation Fora,Event Series,,,Ontario,Canada
加华项目管理协会,China Project Management Professionals Association of Canada,Association,,,,Canada
加中技合作基金 (不列颠哥伦比亚),China-Canada Joint S&T Fund (British Columbia),Investment Fund,,,British Columbia,Canada
加中技合作基金 (安大略),China-Canada Joint S&T Fund (Ontario),Investment Fund,,,Ontario,Canada
加中技合作基金 (魁北克),China-Canada Joint S&T Fund (Québec),Investment Fund,,,Quebec,Canada
加中生物医药科技发展协会,Chinese Canadian Association of Biomedical Professionals,Association,,,,Canada
,Chinese Market Opportunities for Ontario Startups - MaRS Market Insights,Event,,Toronto,,Canada
多伦多大学华人教授协会,Chinese Professors Association of the University of Toronto,Association,M5S,Toronto,,Canada
,Choi Tech and Law,Corporation,K2K 2X3,Ottawa,,Canada
,Concordia University,University,,,,
中国驻多伦多总领事馆,Consulate General of China in Toronto,Government Entity,,Toronto,,Canada
,e-Bitda,Corporation,M5S 3A6,Toronto,,Canada
福建省海外科技专家顾问团,Fujian Overseas Science and Technology Advisory Group,Association,,,,
广东省驻加经贸代表处,Guangdong Economic and Trade Representative Office in Canada,Municipality,M2J 4V8,Toronto,,Canada
广东省海外交流协会,Guangdong Provincial Overseas Exchange Association,Association,,,,
广东省公共外交协会,Guangdong Provincial Public Diplomacy Association,Association,,,,
广东工业大学,Guangdong University of Technology ,University,,,,
,IBEX Technologies Inc.,Corporation,H4P 1P7,Montreal,,Canada
创新人才推进计划,Innovative Talent Promotion Plan,Talent Program,,,,
中国人民解放军军事科学院军事医学研究院生物工程研究所,"Institute of Biotechnology, Academy of Military Medical Sciences",Research Institute,100071,Beijing,,China
中国人民解放军军事科学院军事医学研究院生物工程研究所,"Institute of Biotechnology, Academy of Military Medical Sciences",Academic Institution,100071,Beijing,,China
暨南大学资源环境可持续发展研究所,"Institute of Sustainable Development of Resources and Environment, Jinan University ",University,,,,
江门市海外交流协会,Jiangmen Overseas Exchange Association ,Association,,,,
江门市海外联谊会,Jiangmen Overseas Friendship Association,Association,,,,
江门市海归会,Jiangmen Returnees Association,Association,,,,
丽水市,Lishui City,Municipality,,,,
,McGill University,University,H3A 0G4,Montreal,,Canada
,McMaster University,University,L8S 4L8,Hamiilton,,Canada
中国科技部,Ministry of Science and Technology,Government Entity,,,,
加拿大国家研究理事会,National Research Council Canada,Research Institute,K1A 0R6,Ottawa,,Canada
安大略省政府,Ontario Provincial Government,Government Entity,,,Ontario,Canada
太平洋特别并购公司,Pacific Special Acquisitions Corp,Corporation,100015,Beijing,,China
中国人民解放军,People's Liberation Army,Military Entity,100832,Beijing,,China
魁北克省政府,Québec Provincial Government,Government Entity,,,Quebec,Canada
,"Richmond Hill, Toronto, ON, CA",Municipality,,Toronto,,Canada
,"Society for Design and Process Science, Concordia University ",Association,,,,
华南师范大学,South China Normal University,University,,,,
山西省侨联特聘专家委员会,Special Expert Committee of the Federation of Overseas Chinese in Shanxi Province,Association,,,,
,The 3rd Canada-China Science and Technology Forum,Event,,Toronto,,Canada
,University of Montreal,University,H3T 1J4,Montreal,,Canada
,University of Toronto,University,M5S,Toronto,,Canada
,University of Waterloo,University,N2L 3G1,Waterloo,,Canada
温州市,Wenzhou City,Municipality,,,,
五邑大学,Wuyi University,University,,,,
北京中关村驻加拿大办事处,Zhongguancun Canada Office,Municipality,,,,Canada
中关村科技园区,Zhongguancun Science Park,Municipality,,,,